Res: 0.010675 beta: 0.500000 | gamma1: 0.233612 | gamma2: 0.017093 | mortality: 0.009077 | darkFigure: 10.000000 | startDate: 737836.000000 | majorEvents: 0.809004 | schoolClosing: 0.678931 | contactRestrictions: 0.825380 | 
Res: 0.012410 beta: 0.495363 | gamma1: 0.228134 | gamma2: 0.039975 | mortality: 0.009483 | darkFigure: 5.813810 | startDate: 737836.488004 | majorEvents: 0.832368 | schoolClosing: 0.718936 | contactRestrictions: 0.806742 | 
Res: 0.021153 beta: 0.500000 | gamma1: 0.200554 | gamma2: 0.050706 | mortality: 0.009971 | darkFigure: 5.000566 | startDate: 737841.005378 | majorEvents: 0.934680 | schoolClosing: 0.581693 | contactRestrictions: 0.785938 | 
Res: 0.012295 beta: 0.500000 | gamma1: 0.237177 | gamma2: 0.021472 | mortality: 0.009956 | darkFigure: 7.858622 | startDate: 737836.000000 | majorEvents: 0.811600 | schoolClosing: 0.736663 | contactRestrictions: 0.797444 | 
Res: 4.128148 beta: 0.500000 | gamma1: 0.202546 | gamma2: 0.036928 | mortality: 0.010000 | darkFigure: 6.218401 | startDate: 737844.017226 | majorEvents: 0.851228 | schoolClosing: 0.716112 | contactRestrictions: 0.941279 | 
Res: 0.010983 beta: 0.500000 | gamma1: 0.183798 | gamma2: 0.062312 | mortality: 0.009119 | darkFigure: 5.012638 | startDate: 737840.538327 | majorEvents: 0.761918 | schoolClosing: 0.662761 | contactRestrictions: 0.766105 | 
Res: 0.013924 beta: 0.500000 | gamma1: 0.222953 | gamma2: 0.015007 | mortality: 0.010000 | darkFigure: 10.000000 | startDate: 737838.025824 | majorEvents: 0.922841 | schoolClosing: 0.534148 | contactRestrictions: 0.876077 | 
Res: 0.069289 beta: 0.500000 | gamma1: 0.230120 | gamma2: 0.019933 | mortality: 0.008421 | darkFigure: 9.877334 | startDate: 737836.023105 | majorEvents: 0.795122 | schoolClosing: 0.667828 | contactRestrictions: 0.897436 | 
Res: 0.011607 beta: 0.457807 | gamma1: 0.193308 | gamma2: 0.019252 | mortality: 0.009357 | darkFigure: 8.986586 | startDate: 737836.000000 | majorEvents: 0.849676 | schoolClosing: 0.572630 | contactRestrictions: 0.825315 | 
Res: 2.623791 beta: 0.500000 | gamma1: 0.238908 | gamma2: 0.025475 | mortality: 0.009985 | darkFigure: 8.076792 | startDate: 737840.270628 | majorEvents: 0.920233 | schoolClosing: 0.671204 | contactRestrictions: 0.983304 | 
Res: 0.012817 beta: 0.500000 | gamma1: 0.245167 | gamma2: 0.019450 | mortality: 0.009718 | darkFigure: 8.591835 | startDate: 737836.001898 | majorEvents: 0.902632 | schoolClosing: 0.627932 | contactRestrictions: 0.861958 | 
Res: 0.010706 beta: 0.500000 | gamma1: 0.234545 | gamma2: 0.020443 | mortality: 0.008063 | darkFigure: 10.000000 | startDate: 737836.000000 | majorEvents: 0.818269 | schoolClosing: 0.669430 | contactRestrictions: 0.831270 | 
Res: 2.318352 beta: 0.499853 | gamma1: 0.246155 | gamma2: 0.028031 | mortality: 0.009879 | darkFigure: 7.280668 | startDate: 737839.007470 | majorEvents: 0.862437 | schoolClosing: 0.899504 | contactRestrictions: 0.797376 | 
Res: 0.015454 beta: 0.460112 | gamma1: 0.205410 | gamma2: 0.021722 | mortality: 0.009685 | darkFigure: 8.047174 | startDate: 737836.000000 | majorEvents: 0.908971 | schoolClosing: 0.593743 | contactRestrictions: 0.800174 | 
Res: 0.010498 beta: 0.500000 | gamma1: 0.078987 | gamma2: 0.055728 | mortality: 0.009544 | darkFigure: 5.000000 | startDate: 737843.412422 | majorEvents: 0.399303 | schoolClosing: 0.661942 | contactRestrictions: 0.484838 | 
Res: 0.412451 beta: 0.475412 | gamma1: 0.201892 | gamma2: 0.035253 | mortality: 0.007837 | darkFigure: 6.772755 | startDate: 737836.440478 | majorEvents: 0.839129 | schoolClosing: 0.520709 | contactRestrictions: 0.934323 | 
Res: 0.012149 beta: 0.496985 | gamma1: 0.200148 | gamma2: 0.016100 | mortality: 0.009444 | darkFigure: 10.000000 | startDate: 737838.266906 | majorEvents: 0.790706 | schoolClosing: 0.632828 | contactRestrictions: 0.751813 | 
Res: 0.417601 beta: 0.500000 | gamma1: 0.236357 | gamma2: 0.021591 | mortality: 0.009969 | darkFigure: 8.183427 | startDate: 737838.011664 | majorEvents: 0.907413 | schoolClosing: 0.652222 | contactRestrictions: 0.878237 | 
Res: 0.010565 beta: 0.451945 | gamma1: 0.171292 | gamma2: 0.023325 | mortality: 0.007899 | darkFigure: 9.401882 | startDate: 737836.388860 | majorEvents: 0.736289 | schoolClosing: 0.598749 | contactRestrictions: 0.790408 | 
Res: 0.106443 beta: 0.497935 | gamma1: 0.226040 | gamma2: 0.017651 | mortality: 0.008545 | darkFigure: 10.000000 | startDate: 737836.512380 | majorEvents: 0.871475 | schoolClosing: 0.503152 | contactRestrictions: 0.964399 | 
Res: 1.380735 beta: 0.500000 | gamma1: 0.237804 | gamma2: 0.051865 | mortality: 0.010000 | darkFigure: 5.009676 | startDate: 737837.244362 | majorEvents: 0.778953 | schoolClosing: 0.906713 | contactRestrictions: 0.892546 | 
Res: 0.925635 beta: 0.499992 | gamma1: 0.253297 | gamma2: 0.020781 | mortality: 0.009704 | darkFigure: 9.000093 | startDate: 737838.263955 | majorEvents: 0.997476 | schoolClosing: 0.672785 | contactRestrictions: 0.864168 | 
Res: 3.705031 beta: 0.500000 | gamma1: 0.069106 | gamma2: 0.079635 | mortality: 0.010000 | darkFigure: 5.000000 | startDate: 737846.689754 | majorEvents: 0.460484 | schoolClosing: 0.827001 | contactRestrictions: 0.584275 | 
Res: 2.029099 beta: 0.500000 | gamma1: 0.081986 | gamma2: 0.071009 | mortality: 0.009992 | darkFigure: 5.000000 | startDate: 737845.160940 | majorEvents: 0.479282 | schoolClosing: 0.762115 | contactRestrictions: 0.609808 | 
Res: 2.124763 beta: 0.425101 | gamma1: 0.054524 | gamma2: 0.129591 | mortality: 0.008935 | darkFigure: 5.000000 | startDate: 737841.910629 | majorEvents: 0.446943 | schoolClosing: 0.638036 | contactRestrictions: 0.612324 | 
Res: 1.282166 beta: 0.452739 | gamma1: 0.073279 | gamma2: 0.086664 | mortality: 0.008860 | darkFigure: 5.000000 | startDate: 737843.474181 | majorEvents: 0.467678 | schoolClosing: 0.834083 | contactRestrictions: 0.529611 | 
Res: 4.958983 beta: 0.421625 | gamma1: 0.050728 | gamma2: 0.095270 | mortality: 0.010000 | darkFigure: 5.000000 | startDate: 737843.409901 | majorEvents: 0.380972 | schoolClosing: 0.913849 | contactRestrictions: 0.676436 | 
Res: 1.317937 beta: 0.500000 | gamma1: 0.061321 | gamma2: 0.071355 | mortality: 0.009053 | darkFigure: 5.000000 | startDate: 737845.204127 | majorEvents: 0.474818 | schoolClosing: 0.596280 | contactRestrictions: 0.584906 | 
Res: 1.496520 beta: 0.500000 | gamma1: 0.082959 | gamma2: 0.072114 | mortality: 0.009877 | darkFigure: 5.000000 | startDate: 737844.400923 | majorEvents: 0.441966 | schoolClosing: 0.716879 | contactRestrictions: 0.687469 | 
Res: 0.013204 beta: 0.422152 | gamma1: 0.067909 | gamma2: 0.057798 | mortality: 0.009454 | darkFigure: 5.000000 | startDate: 737840.348550 | majorEvents: 0.441917 | schoolClosing: 0.565397 | contactRestrictions: 0.506396 | 
Res: 2.763538 beta: 0.500000 | gamma1: 0.062975 | gamma2: 0.090557 | mortality: 0.009993 | darkFigure: 5.000000 | startDate: 737845.199758 | majorEvents: 0.422315 | schoolClosing: 0.739835 | contactRestrictions: 0.554430 | 
Res: 0.223709 beta: 0.481327 | gamma1: 0.084182 | gamma2: 0.034485 | mortality: 0.007849 | darkFigure: 7.428026 | startDate: 737841.077749 | majorEvents: 0.383689 | schoolClosing: 0.497448 | contactRestrictions: 0.599108 | 
Res: 0.312456 beta: 0.491725 | gamma1: 0.097222 | gamma2: 0.048810 | mortality: 0.009354 | darkFigure: 5.698623 | startDate: 737841.091223 | majorEvents: 0.285179 | schoolClosing: 0.653269 | contactRestrictions: 1.000000 | 
Res: 0.012361 beta: 0.482999 | gamma1: 0.090794 | gamma2: 0.027020 | mortality: 0.007873 | darkFigure: 8.668751 | startDate: 737841.327538 | majorEvents: 0.407593 | schoolClosing: 0.627626 | contactRestrictions: 0.585976 | 
Res: 0.009867 beta: 0.500000 | gamma1: 0.107210 | gamma2: 0.058261 | mortality: 0.009448 | darkFigure: 5.000000 | startDate: 737842.766135 | majorEvents: 0.494818 | schoolClosing: 0.635113 | contactRestrictions: 0.628516 | 
Res: 0.020094 beta: 0.478335 | gamma1: 0.098325 | gamma2: 0.033894 | mortality: 0.008024 | darkFigure: 7.446249 | startDate: 737841.036893 | majorEvents: 0.418862 | schoolClosing: 0.578530 | contactRestrictions: 0.753649 | 
