Infektionsf„lle nach Meldung (https://experience.arcgis.com/experience/478220a4c454480e823b17327b2bf1d4/page/page_0/, Stand 08.06.2020)																																																		
																																																		
	Baden-Wrttemberg			Bayern			Berlin			Brandenburg			Bremen			Hamburg			Hessen			Mecklenburg-Vorpommern			Niedersachsen			Nordrhein-Westfalen			Reinland-Pfalz			Saarland			Sachsen			Sachsen-Anhalt			Schleswig-Holstein			Thringen				
	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt		
13.04.2020	290	0	290	463	0	463	59	0	59	12	0	12	6	0	6	42	0	42	77	0	77	4	0	4	79	0	79	293	0	293	73	0	73	30	0	30	40	0	40	11	0	11	98	0	98	20	0	20		
14.04.2020	369	0	369	754	1	755	74	0	74	53	0	53	7	0	7	76	0	76	161	0	161	3	0	3	168	0	168	521	0	521	100	0	100	27	0	27	72	0	72	25	0	25	17	0	17	44	0	44		
15.04.2020	619	0	619	958	0	958	113	0	113	66	0	66	15	0	15	83	0	83	227	0	227	11	0	11	225	0	225	662	0	662	119	0	119	51	0	51	57	0	57	22	0	22	42	0	42	42	0	42		
16.04.2020	660	0	660	865	0	865	94	0	94	60	0	60	45	0	45	72	0	72	208	0	208	9	0	9	242	0	242	742	0	742	116	0	116	49	0	49	102	0	102	25	0	25	51	0	51	81	0	81		
17.04.2020	554	0	554	780	0	780	120	0	120	108	1	109	12	0	12	109	0	109	190	0	190	4	0	4	197	0	197	635	0	635	129	0	129	31	0	31	44	0	44	61	0	61	38	0	38	36	0	36		
18.04.2020	392	0	392	509	0	509	81	0	81	61	0	61	17	0	17	42	0	42	128	0	128	6	0	6	143	0	143	466	0	466	87	0	87	27	0	27	46	0	46	23	0	23	26	0	26	47	0	47		
19.04.2020	298	0	298	387	0	387	32	0	32	28	0	28	12	0	12	22	0	22	73	0	73	0	0	0	97	0	97	339	0	339	26	0	26	2	0	2	23	0	23	15	0	15	9	0	9	16	0	16		
20.04.2020	274	0	274	379	1	380	45	0	45	57	0	57	7	0	7	34	0	34	79	0	79	2	0	2	129	0	129	559	0	559	35	0	35	17	0	17	33	0	33	13	0	13	28	0	28	38	0	38		
21.04.2020	397	0	397	509	0	509	76	0	76	67	0	67	17	0	17	58	0	58	168	0	168	2	0	2	163	0	163	453	0	453	61	0	61	37	0	37	49	0	49	29	0	29	38	0	38	75	0	75		
22.04.2020	504	0	504	599	0	599	81	0	81	49	0	49	108	0	108	48	0	48	177	0	177	4	0	4	163	0	163	474	0	474	85	0	85	44	0	44	51	0	51	16	0	16	35	0	35	56	0	56		
23.04.2020	420	0	420	575	0	575	86	0	86	40	1	41	17	0	17	50	0	50	125	0	125	0	0	0	140	0	140	387	0	387	55	0	55	20	0	20	34	0	34	29	0	29	40	0	40	66	0	66		
24.04.2020	366	0	366	532	0	532	73	0	73	84	0	84	17	0	17	42	0	42	101	0	101	6	0	6	119	0	119	331	0	331	62	0	62	22	0	22	45	0	45	23	0	23	38	0	38	46	0	46		
25.04.2020	318	0	318	306	0	306	54	0	54	24	0	24	15	0	15	44	0	44	89	0	89	7	0	7	67	0	67	224	0	224	30	0	30	14	0	14	22	0	22	19	0	19	17	0	17	25	0	25		
26.04.2020	131	0	131	188	1	189	21	0	21	7	0	7	14	0	14	18	0	18	24	0	24	0	0	0	51	0	51	152	0	152	30	0	30	17	0	17	20	0	20	5	0	5	6	0	6	21	0	21		
27.04.2020	170	0	170	341	1	342	55	0	55	35	0	35	7	0	7	22	0	22	68	0	68	1	0	1	76	0	76	224	0	224	42	0	42	5	0	5	21	0	21	6	0	6	13	0	13	28	0	28		
28.04.2020	185	0	185	363	0	363	79	0	79	64	3	67	43	0	43	26	0	26	138	0	138	13	0	13	99	0	99	262	0	262	31	0	31	18	0	18	33	0	33	13	0	13	21	0	21	77	0	77		
29.04.2020	278	0	278	298	0	298	68	0	68	36	0	36	42	0	42	42	0	42	122	0	122	4	0	4	85	0	85	250	0	250	61	0	61	25	0	25	39	0	39	16	0	16	18	0	18	43	0	43		
30.04.2020	257	0	257	287	0	287	56	0	56	33	2	35	22	0	22	25	0	25	104	0	104	4	0	4	83	0	83	387	0	387	46	0	46	21	0	21	33	0	33	12	0	12	19	0	19	61	0	61		
01.05.2020	152	0	152	222	0	222	25	0	25	33	0	33	12	0	12	8	0	8	77	0	77	4	0	4	39	0	39	231	0	231	39	0	39	13	0	13	22	0	22	11	0	11	13	0	13	14	0	14		
02.05.2020	112	0	112	136	0	136	31	0	31	16	0	16	4	0	4	13	0	13	40	0	40	2	0	2	36	0	36	148	0	148	19	0	19	6	0	6	22	0	22	5	0	5	11	0	11	21	0	21		
03.05.2020	49	0	49	90	0	90	32	0	32	6	0	6	17	0	17	3	0	3	26	0	26	0	0	0	15	0	15	121	0	121	0	0	0	4	0	4	10	0	10	4	0	4	49	0	49	1	0	1		
04.05.2020	78	0	78	165	0	165	52	0	52	19	0	19	17	0	17	9	0	9	28	0	28	4	0	4	93	0	93	170	0	170	28	0	28	5	0	5	6	0	6	5	0	5	14	0	14	30	0	30		
05.05.2020	124	0	124	215	0	215	53	0	53	44	0	44	10	0	10	21	0	21	90	0	90	7	0	7	79	0	79	239	0	239	32	0	32	6	0	6	61	0	61	19	0	19	49	0	49	39	0	39		
06.05.2020	127	0	127	261	0	261	58	0	58	25	0	25	54	0	54	21	0	21	104	0	104	3	0	3	91	0	91	316	0	316	30	0	30	10	0	10	35	0	35	10	0	10	16	0	16	44	0	44		
07.05.2020	182	0	182	232	2	234	58	0	58	12	0	12	29	0	29	17	0	17	83	0	83	6	0	6	85	0	85	314	0	314	37	0	37	10	0	10	34	0	34	12	0	12	34	0	34	48	0	48		
08.05.2020	205	0	205	209	0	209	4	0	4	17	0	17	28	0	28	12	0	12	87	0	87	0	0	0	80	0	80	217	0	217	24	0	24	5	0	5	45	0	45	8	0	8	22	0	22	26	0	26		
09.05.2020	127	0	127	122	0	122	17	0	17	5	0	5	15	0	15	10	0	10	47	0	47	4	0	4	30	0	30	190	0	190	28	0	28	4	0	4	24	0	24	4	0	4	19	0	19	31	0	31		
10.05.2020	52	0	52	78	0	78	8	0	8	2	0	2	12	0	12	3	0	3	15	0	15	3	0	3	10	0	10	104	0	104	15	0	15	0	0	0	8	0	8	2	0	2	20	0	20	8	0	8		
11.05.2020	98	0	98	188	0	188	16	0	16	9	0	9	3	0	3	5	0	5	33	0	33	3	0	3	49	0	49	200	0	200	19	0	19	2	0	2	21	0	21	2	0	2	5	0	5	32	0	32		
12.05.2020	101	0	101	210	1	211	37	0	37	7	0	7	20	0	20	2	0	2	82	0	82	4	0	4	50	0	50	226	0	226	21	0	21	7	0	7	24	0	24	7	0	7	16	0	16	28	0	28		
13.05.2020	124	0	124	189	1	190	58	0	58	10	0	10	29	0	29	15	0	15	70	0	70	4	0	4	78	0	78	211	0	211	39	0	39	7	0	7	35	0	35	9	0	9	12	0	12	16	0	16		
14.05.2020	102	0	102	207	0	207	44	0	44	15	1	16	23	0	23	10	0	10	47	0	47	5	0	5	40	0	40	197	0	197	30	0	30	8	0	8	39	0	39	10	0	10	5	0	5	25	0	25		
15.05.2020	104	0	104	132	0	132	16	0	16	6	0	6	21	0	21	13	0	13	66	0	66	2	0	2	42	0	42	218	0	218	35	0	35	4	0	4	20	0	20	1	0	1	7	0	7	21	0	21		
16.05.2020	56	0	56	101	0	101	16	0	16	13	1	14	19	0	19	6	0	6	34	0	34	1	0	1	21	0	21	141	0	141	10	0	10	2	0	2	15	0	15	3	0	3	2	0	2	24	0	24		
17.05.2020	31	0	31	57	0	57	8	0	8	1	0	1	10	0	10	1	0	1	74	0	74	1	0	1	9	0	9	90	0	90	17	0	17	0	0	0	3	0	3	2	0	2	1	0	1	9	0	9		
18.05.2020	42	0	42	87	1	88	33	0	33	6	0	6	11	0	11	1	0	1	60	0	60	0	0	0	70	0	70	184	0	184	19	0	19	3	0	3	18	0	18	0	0	0	0	0	0	10	0	10		
19.05.2020	101	0	101	109	0	109	46	0	46	4	0	4	19	0	19	3	0	3	78	0	78	2	0	2	63	0	63	194	0	194	22	0	22	4	0	4	32	0	32	8	0	8	14	0	14	32	0	32		
20.05.2020	84	0	84	193	0	193	48	0	48	14	0	14	18	0	18	13	0	13	102	0	102	8	0	8	93	0	93	159	0	159	30	0	30	3	0	3	30	0	30	3	0	3	9	0	9	21	0	21		
21.05.2020	43	0	43	93	0	93	9	0	9	3	0	3	16	0	16	2	0	2	28	0	28	0	0	0	50	0	50	106	0	106	6	0	6	3	0	3	11	0	11	3	0	3	23	0	23	20	0	20		
22.05.2020	64	0	64	117	0	117	36	0	36	5	0	5	4	0	4	3	0	3	51	0	51	0	0	0	95	0	95	95	0	95	12	0	12	3	0	3	6	0	6	1	0	1	18	0	18	18	0	18		
23.05.2020	49	0	49	79	0	79	7	0	7	4	0	4	3	0	3	2	0	2	50	0	50	0	0	0	37	0	37	74	0	74	7	0	7	4	0	4	5	0	5	0	0	0	0	0	0	14	0	14		
24.05.2020	17	0	17	94	0	94	3	0	3	0	0	0	13	0	13	0	0	0	14	0	14	0	0	0	9	0	9	56	0	56	1	0	1	1	0	1	5	0	5	0	0	0	0	0	0	11	0	11		
25.05.2020	32	0	32	88	0	88	22	0	22	8	0	8	2	0	2	2	0	2	30	0	30	1	0	1	45	0	45	135	0	135	10	0	10	5	0	5	9	0	9	5	0	5	0	0	0	18	0	18		
26.05.2020	57	0	57	132	0	132	23	0	23	4	4	8	10	0	10	3	0	3	75	0	75	0	0	0	58	0	58	147	0	147	40	0	40	3	0	3	15	0	15	1	0	1	5	0	5	36	0	36		
27.05.2020	79	0	79	114	0	114	41	0	41	7	1	8	26	0	26	1	0	1	46	0	46	0	0	0	123	0	123	137	0	137	20	0	20	4	0	4	19	0	19	2	0	2	0	0	0	24	0	24		
28.05.2020	60	0	60	88	0	88	25	0	25	8	1	9	26	0	26	0	0	0	58	0	58	1	0	1	74	0	74	115	0	115	8	0	8	3	0	3	13	0	13	1	0	1	6	0	6	35	0	35		
29.05.2020	36	0	36	78	0	78	30	0	30	5	1	6	29	0	29	5	0	5	38	0	38	1	0	1	63	0	63	97	0	97	18	0	18	5	0	5	9	0	9	1	0	1	14	0	14	16	0	16		
30.05.2020	24	0	24	82	1	83	23	0	23	5	0	5	24	0	24	1	0	1	32	0	32	0	0	0	59	0	59	83	0	83	11	0	11	1	0	1	5	0	5	3	0	3	4	0	4	12	0	12		
31.05.2020	11	0	11	40	1	41	27	0	27	1	0	1	7	0	7	6	0	6	11	0	11	0	0	0	23	0	23	44	0	44	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	7	0	7		
01.06.2020	7	0	7	20	0	20	2	0	2	0	0	0	1	0	1	2	0	2	2	0	2	0	0	0	42	0	42	44	0	44	3	0	3	7	0	7	0	0	0	1	0	1	5	0	5	2	0	2		
02.06.2020	14	0	14	35	0	35	41	0	41	6	2	8	11	0	11	2	0	2	25	0	25	0	0	0	56	0	56	90	0	90	7	0	7	2	0	2	2	0	2	3	0	3	1	0	1	4	0	4		
03.06.2020	29	0	29	54	0	54	54	0	54	3	3	6	17	0	17	9	0	9	33	0	33	2	0	2	122	0	122	117	0	117	16	0	16	3	0	3	9	0	9	0	0	0	0	0	0	18	0	18		
04.06.2020	40	0	40	81	4	85	31	0	31	3	0	3	34	0	34	5	0	5	32	0	32	1	0	1	100	0	100	133	0	133	28	0	28	1	0	1	6	0	6	6	0	6	0	0	0	16	0	16		
05.06.2020	24	5	29	56	1	57	23	7	30	3	3	6	15	0	15	2	2	4	22	1	23	3	0	3	72	5	77	95	5	100	17	2	19	4	0	4	2	2	4	2	0	2	2	0	2	14	1	15		
06.06.2020	8	13	21	11	5	16	5	10	15	0	0	0	4	0	4	0	0	0	13	0	13	6	1	7	0	34	34	71	8	79	0	4	4	5	0	5	0	5	5	0	0	0	2	0	2	2	1	3		
07.06.2020	0	7	7	0	17	17	0	3	3	0	0	0	0	14	14	0	0	0	0	3	3	0	0	0	0	4	4	0	31	31	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	2		
