Infektionsf„lle nach Erkrankungsbeginn (https://experience.arcgis.com/experience/478220a4c454480e823b17327b2bf1d4/page/page_0/, Stand 08.06.2020)																																																		
																																																		
	Baden-Wrttemberg			Bayern			Berlin			Brandenburg			Bremen			Hamburg			Hessen			Mecklenburg-Vorpommern			Niedersachsen			Nordrhein-Westfalen			Reinland-Pfalz			Saarland			Sachsen			Sachsen-Anhalt			Schleswig-Holstein			Thringen				
	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt		
26.05.2020	21	29	50	34	85	119	22	7	29	1	6	7	11	1	12	0	3	3	9	35	44	1	0	1	41	15	56	40	103	143	6	35	41	0	3	3	4	10	14	1	0	1	0	3	3	4	18	22		
27.05.2020	20	49	69	32	72	104	19	7	26	0	5	5	12	6	18	0	0	0	12	26	38	0	0	0	41	43	84	55	60	115	6	8	14	0	3	3	2	6	8	0	1	1	1	0	1	12	11	23		
28.05.2020	14	31	45	26	48	74	15	8	23	1	4	5	11	7	18	2	0	2	7	41	48	0	0	0	30	22	52	38	43	81	0	5	5	0	3	3	2	8	10	3	1	4	5	3	8	4	17	21		
29.05.2020	11	20	31	12	34	46	13	9	22	2	5	7	10	10	20	3	4	7	18	16	34	1	1	2	26	25	51	32	56	88	2	14	16	0	5	5	4	3	7	1	1	2	4	8	12	2	9	11		
30.05.2020	0	9	9	12	64	76	10	8	18	4	3	7	9	7	16	1	1	2	8	22	30	0	0	0	22	20	42	38	42	80	0	6	6	1	1	2	0	2	2	2	0	2	0	1	1	3	9	12		
31.05.2020	7	8	15	10	21	31	8	17	25	0	0	0	4	2	6	0	1	1	3	5	8	1	0	1	21	6	27	17	21	38	4	0	4	1	0	1	1	0	1	2	0	2	0	1	1	5	3	8		
01.06.2020	5	4	9	0	11	11	10	0	10	3	0	3	3	1	4	2	0	2	9	1	10	0	0	0	24	27	51	30	24	54	0	1	1	1	5	6	1	0	1	1	0	1	0	5	5	1	1	2		
02.06.2020	0	8	8	10	14	24	12	18	30	0	5	5	8	5	13	2	1	3	0	15	15	0	0	0	30	22	52	33	35	68	0	5	5	0	2	2	4	1	5	0	0	0	0	1	1	5	2	7		
03.06.2020	9	16	25	8	34	42	6	28	34	0	2	2	2	6	8	0	8	8	0	19	19	3	1	4	23	69	92	23	66	89	2	13	15	0	3	3	2	5	7	3	0	3	1	0	1	4	13	17		
04.06.2020	0	22	22	0	55	55	0	12	12	0	2	2	4	22	26	0	4	4	0	17	17	2	0	2	2	52	54	15	71	86	0	24	24	1	1	2	0	5	5	0	0	0	1	0	1	0	6	6		
05.06.2020	0	20	20	0	42	42	2	18	20	0	3	3	1	9	10	0	4	4	1	19	20	0	2	2	2	35	37	11	55	66	0	17	17	0	3	3	0	2	2	0	1	1	0	2	2	0	11	11		
06.06.2020	0	15	15	0	14	14	0	9	9	0	0	0	0	4	4	0	0	0	0	10	10	0	3	3	0	21	21	0	43	43	0	2	2	0	4	4	0	2	2	0	0	0	0	0	0	0	2	2		
07.06.2020	0	4	4	0	17	17	0	2	2	0	0	0	0	6	6	0	0	0	0	2	2	0	0	0	0	2	2	0	23	23	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1		
