Name	Status	Cases	Cases	Cases	Cases	Cases	Cases	Cases	Cases	Cases
		count	count	count	count	count	count	count	count	incomplete
		28.02.2020	06.03.2020	13.03.2020	20.03.2020	27.03.2020	03.04.2020	10.04.2020	17.04.2020	22.04.2020
Coesfeld	County	0	11	30	92	196	361	424	458	480
Dortmund	County-level City	0	2	17	107	228	367	513	584	617
Duisburg	County-level City	0	2	10	74	223	347	517	636	701
DÅren	County	0	4	14	76	193	310	411	493	520
DÅsseldorf	County-level City	0	2	8	188	321	543	743	857	938
Ennepe-Ruhr-Kreis	County	0	0	6	43	123	232	307	343	365
Essen	County-level City	0	1	11	126	287	357	458	498	691
Euskirchen	County	0	1	5	40	93	165	257	302	317
Gelsenkirchen	County-level City	0	2	4	37	71	149	222	255	275
GÅtersloh	County	0	0	7	150	277	384	489	531	577
Hagen	County-level City	0	0	3	28	55	96	138	188	207
Hamm	County-level City	0	0	2	47	119	217	296	356	405
Heinsberg	County	20	194	521	878	1,147	1,401	1,54	1,618	1,695
Herford	County	0	0	6	76	125	192	264	290	301
Herne	County-level City	0	0	4	10	39	66	92	125	139
Hochsauerlandkreis	County	0	0	14	93	198	345	472	536	551
H?xter	County	0	0	0	14	48	113	183	245	261
Kleve	County	0	0	7	89	173	284	374	462	515
K?ln	County-level City	3	21	104	621	1,105	1,69	1,994	2,148	2,197
Krefeld	County-level City	0	0	11	50	125	230	282	319	426
Leverkusen	County-level City	0	0	5	33	70	133	153	176	185
Lippe	County	0	1	35	117	222	348	510	578	659
M?rkischer Kreis	County	0	4	12	35	80	167	284	413	477
Mettmann	County	0	0	14	96	246	394	605	713	768
Minden-LÅbbecke	County	0	0	15	125	183	285	356	385	394
M?nchengladbach	County-level City	0	3	20	77	148	242	330	399	430
MÅlheim an der Ruhr	County-level City	0	0	5	25	52	94	120	139	147
MÅnster	County-level City	0	4	15	169	368	506	581	602	613
Oberbergischer Kreis	County	0	4	13	64	154	293	360	390	429
Oberhausen	County-level City	0	0	7	35	58	91	137	155	160
Olpe	County	0	0	1	17	66	178	302	449	497
Paderborn	County	0	0	8	60	123	297	440	519	541
Recklinghausen	County	0	0	9	85	178	387	586	735	909
Remscheid	County-level City	0	0	7	19	43	86	143	188	203
Rhein-Erft-Kreis	County	0	1	9	64	202	427	711	815	890
Rheinisch-Bergischer Kreis	County	0	3	18	47	161	232	322	388	395
Rhein-Kreis Neuss	County	0	5	12	84	260	425	499	529	554
Rhein-Sieg-Kreis	County	0	4	22	142	398	608	854	1,017	1,097
Siegen-Wittgenstein	County	0	0	2	31	84	139	194	237	250
Soest	County	0	0	3	54	142	219	299	322	332
Solingen	County-level City	0	0	5	36	73	125	161	198	216
St?dteregion Aachen	County	0	40	76	298	681	1,104	1,427	1,602	1,666
Steinfurt	County	0	0	3	134	278	517	868	1,055	1,15
Unna	County	0	1	14	53	139	225	370	477	558
Viersen	County	0	4	18	110	190	324	441	506	563
Warendorf	County	0	0	10	125	251	338	362	416	424
Wesel	County	0	1	17	115	205	265	358	422	461
Wuppertal	County-level City	0	0	3	72	161	282	505	623	746
Rheinland-Pfalz [Rhineland-Palatinate]	State	0	8	130	910	2,134	3,501	4,615	5,298	5,593
Ahrweiler	County	0	0	6	35	58	83	106	113	115
Altenkirchen (Westerwald)	County	0	0	5	10	27	53	82	110	118
Alzey-Worms	County	0	0	2	34	69	94	121	153	169
Bad DÅrkheim	County	0	1	8	54	134	199	253	287	304
Bad Kreuznach	County	0	0	13	33	73	124	145	161	177
Bernkastel-Wittlich	County	0	0	5	15	39	75	108	119	123
Birkenfeld	County	0	0	0	4	23	42	62	72	77
Bitburg-PrÅm	County	0	0	4	31	75	115	133	149	160
Cochem-Zell	County	0	0	2	38	71	113	122	123	125
Donnersbergkreis	County	0	0	1	12	47	63	81	101	111
Frankenthal (Pfalz)	County-level City	0	0	1	9	13	25	31	33	36
Germersheim	County	0	1	2	22	52	73	109	123	131
Kaiserslautern	County	0	0	5	12	47	64	83	94	95
Kaiserslautern Stadt	County-level City	0	3	5	13	50	67	86	97	107
Koblenz	County-level City	0	2	11	51	118	156	206	226	237
Kusel	County	0	0	1	18	33	57	72	84	85
Landau in der Pfalz	County-level City	0	0	0	4	20	42	49	50	52
Ludwigshafen am Rhein	County-level City	0	0	1	13	43	104	158	234	252
Mainz	County-level City	0	1	12	51	125	223	341	392	441
Mainz-Bingen	County	0	0	5	33	96	187	264	324	338
Mayen-Koblenz	County	0	0	5	107	176	241	296	325	333
Neustadt an der Weinstra†e	County-level City	0	0	1	12	42	62	81	89	90
Neuwied	County	0	0	6	52	114	158	197	212	214
Pirmasens	County-level City	0	0	0	1	12	20	26	30	30
Rhein-HunsrÅck-Kreis	County	0	0	6	38	79	116	135	151	157
Rhein-Lahn-Kreis	County	0	0	5	32	66	105	128	139	149
Rhein-Pfalz-Kreis	County	0	0	1	8	46	120	164	185	193
Speyer	County-level City	0	0	0	7	14	34	46	52	55
SÅdliche Weinstra†e	County	0	0	1	26	56	108	128	139	140
SÅdwestpfalz	County	0	0	0	3	31	63	84	102	103
Trier	County-level City	0	0	3	12	29	69	83	92	94
Trier-Saarburg	County	0	0	0	21	47	96	131	160	165
Vulkaneifel	County	0	0	4	25	35	64	90	101	106
Westerwaldkreis	County	0	0	9	51	112	181	261	295	316
Worms	County-level City	0	0	0	23	57	86	127	147	160
ZweibrÅcken	County-level City	0	0	0	0	5	19	26	34	35
Saarland	State	0	0	33	201	529	1,233	1,976	2,266	2,367
Merzig-Wadern	County	0	0	2	4	36	70	158	175	182
Neunkirchen	County	0	0	4	32	68	130	185	213	220
Regionalverband SaarbrÅcken	County	0	0	10	83	193	564	906	1,05	1,108
Saarlouis	County	0	0	4	36	83	219	382	441	460
Saarpfalz-Kreis	County	0	0	3	23	90	159	222	254	263
St. Wendel	County	0	0	10	23	59	91	123	133	134
Sachsen [Saxony]	State	0	1	78	560	1,491	2,635	3,565	4,127	4,273
Bautzen	County	0	0	14	48	132	191	233	296	315
Chemnitz	County-level City	0	0	3	32	72	133	165	185	190
